ID,cycle,setting1,setting2,setting3,concentration,flow_rate,compression,pressure,volume,mats,dense,volt,cap,stdev,temp,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,ttf,ts
1,-74652,89278.96,73489.33,80265.75,1110.4647,-19994.17,58432.53,76423.875,14703.24,49356.406,30996.246,15343.469,3676.0828,46364.605,70317.14,-99120.78,80683.43,94985.2,-84732.92,-10824.934,-68026.21,-69773.77,-30679.828,22088.047,-21326.785,14516,49572106
1,94933,-73492.87,-52543.58,39996.03,63766.754,-45386.254,85355.08,68852.35,-80163.23,-58553.85,-40890.906,80260.17,-15459.492,57714.344,31992.969,60347.117,59993.918,32271.904,79545.0,63521.39,72049.12,-99492.79,-41041.836,37505.652,-42853.824,-22108,2245618732
1,-12518,32027.854,-88994.94,-37746.965,97710.266,82963.4,-39597.68,-22062.227,18022.158,20118.273,82921.92,-60365.168,-33028.605,20525.662,55331.04,-94624.83,-96470.94,-20656.527,79703.24,90378.44,16876.082,30115.756,18261.588,-92975.34,47690.49,-23325,933380490
1,1178,97514.68,47182.363,-19592.742,32856.31,-20208.97,75137.19,-3561.9915,-98553.57,-68803.805,82695.29,32465.824,82681.51,-21740.771,-41956.96,24664.266,-3251.8728,22269.604,-14183.924,5633.248,39131.812,-39442.28,-74422.57,-52192.188,-57956.51,-37645,3330548054
1,9950,-54344.695,1879.0127,-98516.97,21476.299,-55555.68,43374.996,-66989.99,-6431.649,2950.7468,73653.12,58575.375,42013.25,-798.6158,22304.107,-63546.816,-54770.63,88967.38,8403.304,78943.305,94932.414,86931.11,-32675.086,-2897.9343,-84852.24,82951,3590975571
1,-13212,60926.574,-88854.664,-51361.57,73732.516,-37282.816,24242.686,28250.13,72128.4,65105.195,-15119.341,26616.918,-66533.414,70867.164,-23925.436,-65193.016,68678.34,-59005.83,86699.31,-30810.17,-75406.17,-12791.2705,-807.2325,-38609.777,38760.363,22580,1147920656
1,35145,29408.506,-44203.414,-50630.773,-25363.541,-40192.855,-57752.34,-26997.81,-90538.57,-64761.387,95839.56,-9944.863,73218.36,-94328.91,356.1429,42991.625,6039.1753,-14116.462,2174.7856,44813.64,-19869.758,97478.64,-77951.99,-45559.86,-70208.695,51288,1954403329
1,96373,73702.6,65807.16,40093.285,-89299.414,71954.14,-53283.906,43247.098,-96915.67,-55477.793,-8376.52,55010.32,-6700.483,-1767.0266,-14246.295,-32502.828,-98564.66,-57753.918,-48010.19,-9626.294,45646.52,-60154.145,47743.367,67803.234,-9295.973,16362,3865755965
1,-38070,-67992.734,31970.98,54549.277,-70278.97,-54700.867,48419.875,61223.98,-77995.7,-24583.691,14430.573,-32304.709,-16140.159,-98712.266,-39871.07,-80505.414,7320.974,-79825.99,84613.73,9260.083,-11256.998,-20792.145,30770.656,-19676.824,-38969.785,-944,3476115346
1,57816,51259.016,-11639.528,-57020.45,4194.3677,3627.0146,76363.46,-58213.996,-74329.22,20117.594,73584.3,99171.75,-5933.2305,66152.766,97651.55,84552.14,-928.6824,41102.125,-64593.89,65040.03,4737.8237,97084.52,89864.57,45890.426,96750.305,-62447,2600363644
1,47868,-53563.355,-13186.439,-67926.88,-1803.6593,11749.968,86035.555,53177.734,-55760.746,23378.232,73864.664,-62948.934,60129.777,-39711.863,-97783.86,-755.7777,50119.3,-78053.664,-41559.94,-73234.1,30717.848,-71267.57,93740.33,80575.54,-8314.917,62874,1848968904
1,-61817,-48292.918,-26696.318,-58536.49,85594.81,83680.195,14063.087,-32865.094,19750.76,-78103.37,55847.06,6704.205,11263.38,-43990.668,-69768.2,97516.055,-36466.18,-61074.402,95098.68,-57884.938,80039.45,-6040.2075,-90587.484,46639.945,49793.133,-64831,1136172789
1,-34896,88249.38,-47645.543,-44097.266,-14862.853,-55354.785,-60100.59,-9928.376,18264.803,-36994.258,67198.164,12636.662,-9581.359,82873.28,60352.49,-4841.525,64947.527,69680.445,4882.762,20923.145,-9985.456,80403.62,40857.88,78480.914,-96622.24,85405,4120740938
