id,cycle,setting1,setting2,setting3,concentration,flow_rate,compression,pressure,volume,mats,dense,volt,cap,stdev,temp,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,ttf,ts
9,40876,42222.242,-24782.803,48232.32,9582.648,35797.43,-73800.586,38384.11,-59831.438,-72635.04,29402.04,-5006.1445,67990.22,-13497.886,76294.32,82364.88,-19648.799,-81693.9,-26753.008,26878.312,84306.57,97891.58,-49439.83,-77206.72,-88087.555,-78797,1800377107
9,11510,36349.7,71278.7,48699.254,57189.312,53448.766,21163.889,-71848.25,2992.6497,10722.776,-34974.84,60886.258,-77003.94,-61233.137,91471.67,-79597.31,-40668.4,-43018.156,-42306.07,-51681.2,-45261.035,80257.76,56506.777,-26331.9,97676.305,41657,2964928746
9,62642,-64501.156,-6867.176,96515.414,-9581.667,-77606.25,-94969.984,34364.223,97965.05,19506.977,-28026.85,-74437.32,-18078.088,44406.113,-20192.768,-5412.355,79363.68,-13375.926,-45251.04,-14568.899,90206.43,-94418.95,-81083.26,35324.62,62005.336,-53525,1594342978
9,-76551,25158.117,-35635.88,-57307.664,49680.305,54864.49,-53840.203,-57856.67,-30113.266,-90224.1,-99523.78,64317.594,69386.46,-15099.968,-67720.62,74068.93,33749.33,3107.5522,74854.03,53763.27,-53131.188,74467.21,-5944.446,74870.12,-31443.395,-61918,2834376643
9,-76587,-92980.74,42757.69,98489.234,58471.766,20331.139,40535.23,63979.953,-57523.184,10534.199,-98297.19,23635.697,-5730.6533,48810.703,23467.18,-86611.35,54001.953,54664.45,91539.85,-27205.01,38189.246,-14180.342,-40691.09,95332.07,70564.7,-86210,1836947170
9,-11682,57027.098,35686.668,-74926.02,-55192.074,-91149.484,82446.49,-78182.79,-1782.539,50060.348,-97407.13,49123.098,83944.53,-30290.357,16818.303,-91500.95,19931.625,-45415.477,-74306.89,-39182.734,53065.41,68612.52,98025.22,62179.46,-7236.382,49354,1647720822
9,60966,87648.77,-16178.129,22562.178,-82645.945,-6636.889,-79845.08,9200.524,-79478.69,98074.92,-18948.299,-45161.96,20308.914,-81552.76,34095.34,-25358.695,-39940.15,-70154.625,-59844.14,38329.26,-78970.63,54803.938,-84904.766,94165.63,26012.24,-84114,2894196741
9,-23088,85451.55,-23790.305,53481.08,-98080.02,-81316.56,25483.041,90610.47,-43115.74,82836.17,97952.08,46737.523,-42791.47,-46762.902,-95739.914,-82531.97,-49529.58,4158.4116,11054.112,86954.805,-15160.305,80294.0,-64857.473,-88239.414,90025.35,-80607,2493235616
9,18675,-71405.625,98168.51,-81509.1,-91533.81,34496.652,-97452.23,49096.91,45369.754,-62960.008,-10214.464,-89677.32,-43101.855,-30392.148,-53605.887,-57264.586,-27142.033,-63176.49,59890.227,45468.688,-83381.6,-82211.0,-42093.03,64079.11,36019.11,-87821,3898068691
9,77019,73683.125,-65439.688,62790.902,-24185.678,-8998.161,-96012.46,-20001.992,-62904.445,20589.875,-76202.59,-21767.86,-20114.078,-5959.783,36861.312,-55526.793,19300.25,-17877.852,-14918.107,-97.44131,-8570.015,65849.34,-64682.21,-11658.295,-20790.188,-22615,882044515
