x,y,TRACKID,DEPOT_ID,sids,ts
"-77.06561279",38.95476913,2,2,329,1
"-77.00273132",38.86674118,6,6,6,34
"-76.9910202",38.87606812,7,7,7,48
"-77.01837158",38.93286896,10,10,849,1
"-76.97898102",38.90065002,8,8,370,5
"-77.05107117",38.95861053,1,1,472,16
"-77.00921631",38.83908081,6,6,49,7
"-76.99204254",38.90803146,10,10,546,5
"-76.99748993",38.87921906,7,7,7,20
"-77.09871674",38.92126083,3,3,148,19
"-76.9729538",38.91994858,10,10,948,62
"-77.07196045",38.95394897,2,2,604,2
"-76.97727966",38.9406395,10,10,269,16
"-76.98300171",38.85287857,7,7,379,21
"-77.003479",38.91333008,10,10,763,3
"-77.00054169",38.87488174,7,7,517,4
"-77.01820374",38.9280014,10,10,185,25
"-77.0864563",38.9143219,3,3,498,42
"-76.97621155",38.91500854,10,10,299,136
"-76.98327637",38.85070038,7,7,390,11
"-77.00792694",38.85015869,6,6,356,33
"-77.01783752",38.84634018,6,6,344,3
"-77.08441925",38.96099091,2,2,48,1
"-77.01519012",38.90885162,5,5,1,124
"-77.09060669",38.94240189,2,2,254,3
"-76.99845123",38.92557907,10,10,282,5
"-76.98441315",38.85010147,7,7,390,6
"-77.00653076",38.91310883,10,10,306,1
"-77.05532074",38.94332886,2,2,502,21
"-77.07527161",38.93349075,4,4,96,7
"-76.93312836",38.87437057,8,8,679,17
"-76.97953033",38.87783051,8,8,437,23
"-77.02924347",38.88185883,5,5,45,37
"-76.96727753",38.91070175,9,9,508,22
"-77.01268768",38.88589859,5,5,190,14
"-77.00202942",38.88079834,5,5,313,9
"-77.00907898",38.91556931,10,10,268,14
"-77.01338196",38.83348083,6,6,800,13
"-77.00187683",38.85203934,6,6,377,2
"-77.05137634",38.91070938,4,4,799,8
"-76.99539185",38.85897827,7,7,755,2
"-77.06024933",38.95333099,2,2,540,14
"-76.93531799",38.90763855,9,9,9,65
"-77.01602936",38.86220932,6,6,858,7
"-76.9784317",38.91321182,10,10,905,19
"-77.04280853",38.95886993,1,1,668,28
"-77.05123901",38.95846939,1,1,472,14
"-76.96452332",38.91722107,9,9,87,3
"-77.01280212",38.97116852,1,1,828,3
"-76.96019745",38.87845993,8,8,2,17
"-77.0639267",38.96763992,2,2,521,4
"-77.02838898",38.88228989,5,5,313,75
"-76.98827362",38.90826035,10,10,948,18
"-76.9885025",38.83983994,7,7,173,40
"-77.03684998",38.88209915,5,5,870,19
"-76.99536896",38.92156982,10,10,431,12
"-77.00904083",38.95658875,10,10,55,16
"-76.98114777",38.85155106,7,7,379,26
"-77.06529999",38.91822052,4,4,351,40
"-77.02178192",38.97481918,1,1,445,4
"-77.00769043",38.8697319,6,6,603,7
"-76.97627258",38.87599182,7,7,8,2
"-76.95700073",38.91735077,9,9,574,9
"-76.93306732",38.9114418,9,9,4,21
"-76.96703339",38.87794876,8,8,2,72
"-76.96394348",38.86103821,7,7,39,14
"-76.99041748",38.87649155,7,7,467,55
"-76.97892761",38.9165802,10,10,948,35
"-77.04187012",38.92721939,4,4,166,4
"-77.07389069",38.91036987,4,4,892,34
"-76.98370361",38.83599854,7,7,173,7
"-77.0699234",38.96271896,2,2,13,44
"-77.01451111",38.87100983,5,5,868,14
"-76.97743988",38.85731125,7,7,7,139
"-77.03482819",38.90019989,5,5,642,18
"-77.02320099",38.92884827,10,10,281,26
"-77.0134201",38.91534042,5,5,41,7
"-77.06012726",38.92967987,4,4,23,1
"-77.02236176",38.97991943,1,1,759,46
"-77.01275635",38.88301086,5,5,6,75
"-77.03574371",38.88198853,5,5,870,12
"-76.95223999",38.86146927,8,8,633,9
"-77.01985168",38.88233185,5,5,6,59
"-77.0236969",38.97235107,1,1,258,43
"-77.03646851",38.94079971,1,1,334,7
"-77.07946777",38.90227127,4,4,518,43
"-77.0506134",38.96192169,1,1,668,77
"-77.06391144",38.89690018,4,4,874,9
"-77.01837158",38.93286896,10,10,646,27
"-77.00273132",38.86328125,6,6,522,1
"-77.02230072",38.91643906,5,5,420,2
"-77.01495361",38.84796143,6,6,652,14
"-76.96217346",38.88965988,8,8,579,3
"-77.10381317",38.9397316,3,3,131,2
"-77.03365326",38.89548111,5,5,307,8
"-77.06600952",38.91942978,4,4,525,8
"-77.10398865",38.91492081,3,3,878,49
"-76.94970703",38.90634155,9,9,52,15
"-76.94476318",38.86536026,8,8,569,4
"-77.05094147",38.95286942,1,1,982,9
"-76.94728851",38.86832047,8,8,407,2
"-77.06352997",38.89720917,4,4,355,6
"-77.03996277",38.98968887,1,1,625,46
"-77.04875946",38.88896179,5,5,503,13
"-77.10233307",38.94266129,3,3,827,18
"-76.98493958",38.85731125,7,7,7,31
"-77.03269958",38.93384933,4,4,671,16
"-77.00749969",38.82643127,6,6,318,3
"-77.02973938",38.8814888,5,5,45,38
"-76.94497681",38.91828918,9,9,224,134
"-77.09329987",38.91500854,3,3,499,6
"-77.06331635",38.91511917,4,4,276,18
"-77.0568924",38.93706894,4,4,169,7
"-77.07038879",38.9103508,4,4,676,7
"-77.1188736",38.93093109,3,3,934,3
"-77.02813721",38.95703125,1,1,942,16
"-77.07523346",38.95468903,2,2,13,13
"-77.08027649",38.91701126,4,4,935,2
"-76.96042633",38.89762115,8,8,31,9
"-77.10186005",38.92081833,3,3,143,26
"-77.01467896",38.82841873,6,6,643,25
"-77.04263306",38.98611832,1,1,144,9
"-77.06417084",38.90924072,4,4,543,4
"-77.07028198",38.96514893,2,2,15,4
"-77.04450226",38.9786911,1,1,20,7
"-77.04032135",38.98553085,1,1,9,20
"-77.025383",38.88061905,5,5,45,15
"-77.0090332",38.95568848,10,10,55,18
